つぶやきシロー	shiro_tsubuyaki	ホリプロ所属のつぶやきシローです。
津田大介	tsuda	ジャーナリストもしくはメディア・アクティビスト／「ポリタス」編集長／ナターシャCo-Founder／関心・取材領域はメディア全般、ジャーナリズム、アドボカシー、知財問題など／有料メルマガ（月額648円）はこちら→http://t.co/UZR1aB66N8　仕事依頼はこちら→http://t.co/vHbw1W2qsT
村井純	shimshamshimmy	村井純　村井　純
公文俊平	kshumpei	情報社会学徒。今は、物理学者のデイビッド・ドイッチュが『無限の始まり』で説いている知識論と「楽観主義」にはまっています。
山崎直子	Astro_Naoko	Mission Specialist Astronaut on STS-131. Retired from JAXA in Aug'11.  Dreams for space will continue...☆ (Not a NASA/JAXA official site. JAXA公式サイトではありません。)
小池百合子	ecoyuri	Yuriko Koike         Member, House of Representatives. Japan衆議院議員。環境大臣、防衛大臣などを務めました。「大義」ある政策を、国民の「共感」をえて、実現するのが信条です。
蓮舫	renho_sha	民主党の参議院議員です。これからも無駄の削減、行政を刷新するために奮闘していきます。17才の男女の双子の母でもあります。ツイッターではプライベートな想いをつぶやきます。
橋本岳	ga9_h	衆議院議員(当選二回、岡山県第四選挙区（倉敷市・早島町）選出、自由民主党)。NPO法人岡山県水泳連盟会長。今こそ支えろ西日本！！
浅尾慶一郎	asao_keiichiro	衆議院議員　みんなの党 代表　横浜市栄区・逗子市・鎌倉市・葉山町
松浦大悟	GOGOdai5	身の回りのことをアップします！
藤末健三	fujisue	藤末 健三（ふじすえ けんぞう） --  参議院議員（総務委員会 理事/行政監視委員会/憲法審査会/ODA特別委員会に所属）
逢坂誠二	seiji_ohsaka	1959年ニセコ町生れ。1983年北海道大学薬学部卒業後、ニセコ町役場勤務。総務課財政係長などを経て1994年11月から2005年8月までニセコ町長（3期）。就任当初は全国最年少町長。2005年9月から2012年１１月まで衆議院議員（２期・この間、内閣総理大臣補佐官、総務大臣政務官など）。
原口一博	kharaguchi	Kazuhiro　Haraguchi　　Member House of representatives (Minister for Internal Affairs and Communications 2009-2010) 佐賀1区　代議士
篠原ともえ	tomoeshinohara	篠原デザイン宙てぬぐい「星☆唐草」発売中★内閣ＣＪ推進会議メンバー／デザインアソシエーションNPO理事★Eテレ・みいつけた！、ベーシック英語／フジテレビドラマ・ファーストクラス／日テレ・PON！★TOKYO FM・東京まちかど☆天文台★映画「海月姫」ジジ役 12月上映★宙ガール☆篠原ともえの「星の教科書」今冬発売！
田村ゆかり	yukari_tamura	ゆかり王国のお姫様だぴょん／(*ﾟ▽ﾟ*)＼　みんなめろめろになぁれ♪
日向秀和	Hinatch	東京都町田生まれ、町田育ち、町田在住のベーシスト、ひなっちです。 皆さま宜しくお願いしますっ！！！ http://t.co/tPOjta39Os instagramID hidekazuhinata
DJ FUMIYA	djfumiya	http://t.co/nWGXXMRO 池が好きです。
佐竹雅昭	heiseibushido	
ひろゆき	hiroyuki_ni	みんな、元気～？
うすた京介	k_usuta	８割アイドルの事しかつぶやきませんが、漫画家です。
佐々木かをり	kaorisasaki	佐々木かをりです。ユニカルインターナショナルと、イー・ウーマンの代表をしています。
河西智美	tomoomichan	みなさんこんにちわっっ♡とも～みちゃんコト河西智美です！！み～んなのおかげで、フォロワーが２０万人超えましたぁ！！ありがとうございます。これからも、とものタイムリー情報を伝えていきますのでみんなみてねぇ♥よろちくっっ♥
本広克行	kmotohiro	演出、映画監督。特に映像演出を生業にしてます。
野口聡一	astro_soichi	Long duration space flight!Head of Astronaut Office, JAXAhttp://t.co/3tdRZVzoS8http://t.co/cOYFYAUSzthttp://t.co/YPZR69fOXXhttp://t.co/VvOgsYsEXl
加護亜依	lovbus	音楽が好き。Girls Beat!!最年長の加護亜依(*^^*)たまーに真面目につぶやきます。
谷山浩子	taniyama_	歌を作って歌ってます。ピアノも弾く。 いただいたコメントは可能なかぎりぜんぶ読んでます。お返事は、ほとんどしないけど、心の中でちゃんとしています。スミマセン。スタッフアカウント @taniyama_stf　ブログ http://t.co/3vLbB6XEY0
孫正義	masason	孫正義です。 Twitterで多くの皆さんと時空を超えて、心の繋がりが広がっていく事に感動しています。初めてInternetに出会った時以来の感動です。世界が平和でより多くの人々が、幸福になれる事を心から願っています。
太田光代	ota324	楽しいので始めてみました。
乙一	adachihirotaka	映画『百瀬こっちを向いて』が5/10から公開です。
べつやくれい	betsuyaku	イラストレーターですおもにデイリーポータルＺで記事を書いたり動画を作っています。あとは、朝日新聞の東京版や、NHK横浜放送局のサイトにもイラストやレポートを描いてます「ばかスイーツ」「ばかごはん」「ばか手芸」といった本も絶賛（たぶん）発売中LINEスタンプ「べつやくスタンプ」もどうぞよろしく
でるび	Delviko	うるまでるびのでるびです
佐藤竹善	ChikuzenSato	a singer of Sing Like Talking, Salt&Sugar, solo,, producer, dj.sing like talking,13thAlbum Befriend on sale.
桃井はるこ	momoiktkr	モモーイ momo-i 桃井晴子 I'm Otaku singer from Akihabara Tokyo Japan.Songwriting/Singing/Seiyu... http://t.co/t9WYK07Pbohttp://t.co/Dt86Ys2eQ5http://t.co/v8CmSW0jaO
サエキけんぞう	kenzosaeki	パール兄弟　フレンチ　さえくん
ジョージ・ウィリアムズ	kungfugeorge	TV/Radio/Narrations. 3児のパパ。自転車好き。アイコン by LOSTAGEの五味さん。仕事の連絡mikeintokyo2004@gmail.comでお願いします。
ぜんじろう	zenzenjiro	ぜんじろう 吉本興業所属　Stand up comedian  タレントです。
大貫幹枝	takada_ohnuki	吉本芸人タカダ・コーポレーション大貫です。SMショートコントで相方の首の上に乗ったり漫画描いたりナレーションしたり。LINEスタンプ「優しい佐藤さん。」等、作ってます。スタンプ検索で「ohnuki3」！モンハン、BIGBANG、フィギュアスケート！LINE sticker search for ohnuki3!
中林美和	miwanakabayashi	モデル。 息子2人と娘2人の母。妻。 KKベストセラーズ「中林美和のハートフル♡デイズ」、 セブン＆アイ出版「美和ママごはん♡」、小学館「中林美和ファッションBOOK」発売中！！☆instagram→ miwanakabayashi
松尾スズキ	matsuosuzuki	「植物男子ベランダー」に出たり出なかったり。白水社より戯曲「ラストフラワーズ」発売中。まぐまぐのサイトよりメルマガ配信中。日々の日記他、人生相談の連載も。夜間飛行http://t.co/4cYAjgwqeeブロマガhttp://t.co/JGkaNjj67Jでも読めます。
やついいちろう	Yatsuiichiro	エレキコミック
阿川大樹	agawataiju	最新刊『横浜黄金町パフィー通り』（徳間書店）＆『あなたの声に応えたい』（小学館文庫）他に『幸福な会社』『Ｄ列車でいこう』（いずれも徳間文庫）など。劇団「夢の遊眠社」創立メンバー、半導体技術者を経て、いまは小説家。仕事場は黄金町の元ちょんの間。まちづくりに参加しています。
東浩紀	hazuma	やる気なし。メールは会社にください。英語アカウント @hazuma_en
えとう乱星	ransei	小説家    ブログ・遊戯三昧　http://t.co/xwsuZFSsti
大森望	nzm	大森望(1961-)　書評家、翻訳家。責任編集の『NOVA』全10巻で第34回日本ＳＦ大賞特別賞（期間限定アイコンは水玉螢之丞画伯 @miztama1016 作成）、第45回星雲賞自由部門受賞。著書に『20世紀SF1000』『新編 SF翻訳講座』など。毎週木曜、文化放送「大竹まことゴールデンラジオ！」出演中。
太田忠司	tadashi_ohta	小説を書いて生活しています。
柴田よしき	shibatay	柴田よしきと申します。作家です。主としてミステリとその他エンタテインメントを書いてます。最新作は『夢より短い旅の果て』(角川書店)。野生のきのこと蝶の写真撮影が趣味、東京ヤクルトスワローズ・広島東洋カープが好き。鉄道に乗るのが大好き。音楽はロック中心。
島田佳奈	shimadakana	作家／女豹ライター／All About恋愛ガイド。オールアバウト、ニフティ、ハウコレにてコラム連載中。日々、愛と酒と犬にまみれて生きています。新刊『アラフォー独女の生きる道』（双葉社）発売！みんな買ってね！！
鈴木輝一郎	kiichiros	歴史小説・時代小説・推理小説を書いてる職業小説家・作家です。気がつけばもうデビュー24年。あっという間というか、よくまあ生き残っているもんだ。
滝田誠一郎	takitaro	ノンフィクション作家・ジャーナリスト・ブログ評論家　 著書「IT起業家10人の10年」[開高健名言辞典～漂えど沈ます」「ビッグコミック創刊物語」「長靴を履いた開高健」「電網創世記」「孫正義インターネット財閥経営」「シリコンバレーの日本人起業家たち」他　http://t.co/5yaklvckoN
平野啓一郎	hiranok	小説家。1975年愛知県生。北九州市出身。京都大学在学中にデビュー作『日蝕』で芥川賞受賞。著書は、小説『葬送』、『決壊』、『ドーン』、『空白を満たしなさい』、エッセイ集『モノローグ』、対談集『ディアローグ』、新書『本の読み方』、『私とは何か 「個人」から「分人」へ』等。近著は小説『透明な迷宮』(新潮社 6/30刊行)。
森奈津子	MORI_Natsuko	作家。エロス（特に同性愛）とお笑いを二大テーマとしております。注意……amazonへのリンクはアフィリエイトです／反論はしばしばスルーします／アニメ「TIGER&BUNNY」に関し勝手な解釈やら妄想やらをたれ流します(できるだけ23時半以降に)。
井上三太	sanchama	instagram【 santainoue 】,漫画家、【もて介】2巻10/20発売/TOKYO TRIBE映画化 公開中【Santastic! 】 東京都渋谷区渋谷1-22-5シャルム青木1F
大槍葦人	oyari	■主な関連キーワードINKPOT/少女騎士団/北へ。/Littlewitch/白詰草話/QUARTETT!/少女魔法学リトルウィッチロマネスク/ピリオド/ロンド・リーフレット/聖剣のフェアリース/シュガーコートフリークス/英雄＊戦姫
開田裕治	kaidaikaizyu	イラストレーター　主に怪獣やロボットなどのキャラクターイラストを描いてます。ウルトラグッズや特撮同人誌など、HPで通販もしています。http://t.co/aFatgkjobu
鈴木みそ	MisoSuzuki	漫画家です。Windows 、Mac両刀使い。iPhoneも愛してます。
鈴木マサカズ	suzukimasakazu	漫画家。コミックビームにて連載中『鼠、江戸を疾る（原作 赤川次郎）』書籍版＆電子版発売しました。『武装島田倉庫（原作 椎名誠）』第4集9月30日発売。『ダンダリン一○一（原作 とんたにたかし）』重版出来しました。
内藤泰弘	nightow	漫画とかフィギュアとかデザインで飯喰ってるダメな方の大人。でも運の良さは業界でも屈指。今神様に一つお願い事できるとしたら「作文みたいな歌詞のラップ全部滅べ」。座右の銘は「犬は吠えるがキャラバンは進む」。
野上武志	takeshi_nogami	Japanese MANGA-Artist.http://t.co/e6fe3EmOマンガ家やってます。秋田書店「セーラー服と重戦車」　イカロス出版「萌えよ！戦車学校」シリーズなど。
原田たけひと	HARATAKE	原田たけひとです、絵を描いて生きてます推敲してないつぶやきが多いと思われます
水月とーこ	mizukitoko	「色素薄子さん」カムバック同人誌を製作中。進捗はサイトにて！100P描きます！竹書房まんがライフSTORIAにて「わたしの小鳥先生」連載中。ニュースサイトたん4コマ作画担当。全ての方にはフォロー返し＆リプライができない時がありますが全て目を通してます。いつもありがとうございます！カエル大好きです。
みずしな孝之	sinamism	まんが家です。週刊ファミ通「いいでん！」イブニング「いとしのムーコ」など。うわの空・藤志郎一座という劇団で舞台にも立ってます。チケットのお求めなど詳細は→ http://t.co/GHz3c4GE2j
水谷さるころ	m_salucoro	水谷さるころです。バンバンフォローしてください。「30日間世界一周！」全3巻発売中。「35日間世界一周!!」全5巻！　2014年10月5日「35日間世界一周!!　Part5 カリブ海リゾート＆NY・ハワイ編」発売！　5年に渡る世界一周シリーズ完結！　音楽ユニットSalta ALもやってます。
よしもとよしとも	yoshitomosan	
和田ラヂヲ	radiowada	漫画家
茂木健一郎	kenmogi	Scientist. Writer. Broadcaster.Facebook: http://t.co/dZyTQWhZSK
枡野浩一	toiimasunomo	▼高校国語教科書に短歌掲載▼2011年11月「踊る！ヒット賞」▼芸人「詩人歌人」@shijinkajin▼枡野書店 @masunobooks▼メルマガ http://t.co/XYKZYk1i3e▼写真短歌集 http://t.co/W0wgxFhCer▼正確なプロフィール http://t.co/7LRC8jKyem
ジェイク・シマブクロ	JakeShimabukuro	Aloha...
ZEEBRA	zeebrathedaddy	Rapper/DJ/Hip Hop Activist/Grand Master CEO/Co-founder of CCCC
dorlis	dorlis0223	ボンジョ〜ルノ！ドーリスです☆dorlis  official HP:http://t.co/kT71zdNXblog : http://t.co/ZShCVGI3　
BoA	BoA_USA	I DID IT FOR LOVE!!
松田宣浩	match_5	福岡ソフトバンクホークスの松田宣浩です。よろしくお願いします。
平瀬智行	vegalta_hirase	ベガルタ仙台アンバサダー。
田村耕太郎	kotarotamura	CEO Japan Intelligence Initiative, http://t.co/hp1PAxpdUh Ex Senator,  Fmr Parliamentary Secretary for Cabinet Office  http://t.co/JA2GjWvr7e
バラク・オバマ	barackobama	This account is run by Organizing for Action staff. Tweets from the President are signed -bo.
ビル・ゲイツ	billgates	Sharing things I'm learning through my foundation work and other interests...
エリザベス・テイラー	DameElizabeth	The Elizabeth Taylor Trust is now tweeting at @ElizabethTaylor to honor her life and legacy.
ラーニア・アル＝アブドゥッラー	QueenRania	A mum and a wife with a really cool day job...
アル・ゴア	algore	
パリス・ヒルトン	ParisHilton	Download Come Alive: https://t.co/WjfV87aTXb
ニコール・リッチー	nicolerichie	I invented post-it's
ビョーク	bjork	
50セント	50cent	It's the kid 50 Cent  G-Unit                                          -- for booking: Cara Lewis @ CAA – Clewisgroup@CAA.com
ブリトニー・スピアーズ	britneyspears	It’s Britney Bitch! #BritneyJean available now on @iTunesMusic: http://t.co/dps446FIFx
エミネム	eminem	http://t.co/VraAAXvwFU
マライア・キャリー	MariahCarey	Citizen of the World Dahhhling!  Me. I Am Mariah... The Elusive Chanteuse Out Now!!!! http://t.co/dilEuBmiRr
コールドプレイ	coldplay	New album, Ghost Stories, out now. Download http://t.co/EDLr3GMZL3 / CD http://t.co/Vof0QXrfTa / Vinyl http://t.co/HZKfR4SYgD
MCハマー	MCHammer	OAKLAND FIGHT CLUB
レニー・クラヴィッツ	LennyKravitz	New album Strut available now on Roxie Records / iTunes: http://t.co/AWRHdynur4 / Fall 2014 European Tour Dates @ http://t.co/7QqCkVToUe
ザ・プロディジー	the_prodigy	
ロブ・ゾンビ	RobZombie	
レディー・ガガ	ladygaga	The lady herself is not just a chameleon in person, but a chameleon in music.
ケイティ・ペリー	katyperry	CURRENTLY✨BEAMING✨ON THE PRISMATIC WORLD TOUR 2014!
道端ジェシカ	jessybondgirl	Born and raised in Japan, now travel around the world. Model, author, designer, ambassador of Hawaii and I'm a NIKE woman! Instagram : jessicamichibata
藤井リナ	lenafujii	
水道橋博士	S_Hakase	芸能界で一番早くＢｌｏｇを始めた人と認定されたが、実は全然、デジタル対応できていない人のお試し版。
大地洋輔	dienoji_ohchi	ダイノジというコンビでやってます。あと、デブ4人で豊満乃風というユニットでデブ旦那をやってます。10月23日二枚目のアルバム「豊満伝説〜第2章〜」発売します！豊満乃風ブログはhttp://t.co/GqLIWPS0nj
バカリズム	BAKARHYTHM	フジテレビ毎週火曜22時ドラマ「素敵な選TAXI」脚本・出演。フジテレビ毎週日曜9時「オモクリ監督」書籍「バカリズムのエロリズム論」発売中。他にもいろいろ。
松尾貴史	Kitsch_Matsuo	2014年11月8日土曜14時開演、新神戸オリエンタル劇場で、藝能30周年落語会、志の輔さん、吉坊さん、前田一知さんと。「科学の宝箱」続編（講談社）「なぜ宇宙人は地球に来ない？ 笑う超常現象入門」（PHP）カレー「般°若」下北沢／大阪福島 両方でスタッフ募集 http://t.co/QfeyUeo8A2
アシュレイ・ティスデイル	ashleytisdale	My official twitter page!! Hoping my tweets inspire you :)
ジェシカ・シンプソン	JessicaSimpson	
セレーナ・ゴメス	selenagomez	The Official Selena Gomez Twitter Page
テイラー・スウィフト	taylorswift13	Born in 1989.
ピンク	Pink	it's all happening
サマンサ・ロンソン	samantharonson	http://t.co/5oImVxOE6aDon't be mad, UPS is hiring.
エイミー・ワインハウス	amywinehouse	Official Amy Winehouse. Amy Winehouse: At The BBC out now http://t.co/FmdKZNUTTo support @AmysFoundation - donate here http://t.co/EazxnnCz
リアーナ	rihanna	Support the Clara Lionel Foundation w/ the Hard Rock Rihanna Tee -- http://t.co/RP1lrQKILP
ジャネット・ジャクソン	JanetJackson	The OFFICIAL Janet Jackson Twitter
ルーカス・グラビール	MrGrabeel	This is my Twitter Bio.
トム・フェルトン	TomFelton	http://t.co/6WdiW37uyP
小林明子	akiko_holi	いつも『恋におちて』をご愛聴いただき、どうもありがとうございます。現在イギリス在住ですが、日本でもハープとのコラボレーションで音楽活動を続けています。ライブの告知やイギリスの様子等をリアルタイムでお届けしたいと思います。【S】はスタッフツイートです。
坂本美雨	miusakamoto	歌う ネコ吸い妖怪。サバ美と生きてます。( http://t.co/xZWHUiGrqI)New Album『Waving Flags』発売中http://t.co/hD2oA7HuemTOKYO FM＆全国ネット『ディアフレンズ』月〜木11時OA
鳩山由紀夫	hatoyamayukio	政治の話に限らず、身辺に起こったいろいろな話題について書いていければと思っています。ご意見ご感想は @hatoyamayukio でお願いいたします。
宇野薫	caoluno	総合格闘家／UNO DOJO所属UCS&ONEHUNDRED ATHLETICディレクター兼アドバイサーUNO DOJO OFFICIAL SITEhttp://t.co/YB8yCFwAYI
森本千絵	morimotochie	１９７６年三沢うまれ東京そだち１９９６武蔵野美術短期大学グラフィック１９９８武蔵野美術大学 視覚伝達学科編入学１９９９年博報堂入社２００７年独立。goen°を青山に設立。２０１４年結婚。生活とアトリエを共に。青山から等々力にgoen°を引っ越し。
高橋幸宏	room66plus	音楽家
団鬼六	Oniroku_Dan	耽美と反逆の無頼派作家・団鬼六の公式Twitter。快楽主義を貫いてきた巨匠のR18的”つぶやき”をご堪能あれ。 ＢＯＴにつきご容赦を。http://t.co/aHLeba0J4V
江口寿史	Eguchinn	ギャグ漫画家だったりイラスト描いてたり。http://t.co/Xt4OToXk1a
雨宮朋絵	amemiyatomoe	雨宮朋絵です。香港在住。レポーターやラジオのＤＪなどをやっています。広東語と韓国語を勉強中。잘 부탁해요^ ^
吉田戦車	yojizen	『まんが親』(オリジナル)『おかゆネコ』(スピリッツ)を連載中。妻は同業の伊藤理佐（ツイッターはやってません） ご挨拶も返事もおろそかになっておりますが、よろしくお願いします。
夏目ナナ	natsume_nana	甘いものとプロレスが好きです
アシュトン・カッチャー	aplusk	I make stuff, actually I make up stuff, stories mostly, collaborations of thoughts, dreams, and actions. Thats me.
ヒュー・ジャックマン	RealHughJackman	Instagram: @TheHughJackman
ザカリー・クイント	ZacharyQuinto	hush.
ケヴィン・スペイシー	KevinSpacey	Former shoe salesman now making a go at film and theater. Wish me luck...
ジミー・ファロン	jimmyfallon	astrophysicist
マーリー・マトリン	MarleeMatlin	Have a gold man called Oscar; West Wing, L Word, What the Bleep, Apprentice & Switched at Birth. I have a fantastic husband & 4 beautiful kids. I LOVE life.
サラ・シルバーマン	SarahKSilverman	We're all just molecules, Cutie.
ジェーン・フォンダ	Janefonda	Official twitter feed for Jane Fonda - Actress, Author,Activist, Fitness Advocate.  Like me on Facebook! http://t.co/si3qUNa0. Or visit http://t.co/izyKmyiC
エレン・デジェネレス	TheEllenShow	Comedian, talk show host and ice road trucker. My tweets are real, and they’re spectacular.
マシュー・ペリー	langfordperry	Please follow my primary account, @MatthewPerry.
マンディ・ムーア	TheMandyMoore	Singer-Songwriter-Actress
アリッサ・ミラノ	Alyssa_Milano	☮, ♥, and BASEBALL. I tweet a lot. Consider yourself forewarned. My other accounts➛ @AlyssaDotCom @TouchByAM!
エリザベス・バンクス	ElizabethBanks	Amateur Goofball; proud native, Pittsfield, MA
デイン・クック	danecook	When I tweet, I tweet to kill.
グレッグ・グランバーグ	greggrunberg	Actor/Writer/Gamer - Heroes Alias Felicity #MastersOfSex, @BigAssSpider, http://t.co/TGg7arpR6D http://t.co/Z0ImHahzwc
デヴィッド・リンチ	DAVID_LYNCH	Filmmaker. Born Missoula, MT. Eagle Scout.
ジョン・ファヴロー	Jon_Favreau	actor/writer/director
